respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
63001,Le Ramses,ChIJGYfoyv2a80cReawRBFeaY_k,"Restaurant De Pizzas, Restaurant De Restauration Rapide, Kebab","170 Grande Rue, Aigueperse",1
63001,🍟 Fast Good Gannat 🥙 Kebab - Tacos - Burger & Couscous Sur Commande,ChIJO3xBangr90cRQZlCD13LmZE,"Restaurant De Restauration Rapide, Bar Et Grill, Restaurant De Kebab Doner, Kebab","4 Rue Des Frères Degand, Gannat",1
63001,Kanki Gannat,ChIJxQ1ihDsq90cR8OJR_i6kGSw,"Restaurant, Restaurant Américain, Kebab, Restaurant De Pizzas","18 Av. De La République, Gannat",1
63001,Restaurant Anisse,ChIJo2TW8jsq90cRQp52ze0OPDM,"Restaurant De Restauration Rapide, Restaurant De Couscous, Kebab, Restaurant À Emporter, Restaurant, Sandwicherie","17 Grande Rue, Gannat",1
63001,Miss Gözleme,ChIJ6UEUaQAl90cRMeVEsvZA9rA,Restaurant Turc,"2 Gr Grand Rue, Davayat",1
63001,Tic Toque Bistro,ChIJpdl1tg4o90cRnyUCjlEFjoY,"Restaurant, Bistro, Restaurant De Hamburgers, Restaurant De Plats De Viande","Parking Carrefour Market, Aigueperse",0
63001,Restaurant Le Cinq Mars,ChIJ66z506jX9kcRr8UXiMs_DbQ,"Restaurant Français, Bar","16 Rue Cinq Mars, Effiat",0
63001,Le Relais Fleuri,ChIJMQ-9Z6nX9kcRNZWVU3xYJ14,"Restaurant, Restaurant Français, Bar","4 Rue De La Poste, Effiat",0
63001,Chez Mado,ChIJOytS8MMp90cR9SUqLQdemNk,"Restaurant, Bar, Restaurant Français","16 Rn 9, Saint-Genès-du-Retz",0
63001,Mcdonald's,ChIJgSdWsowp90cRCg0l_FO-lBw,"Restaurant De Restauration Rapide, Restaurant Américain, Restaurant De Hamburgers, Restaurant De Pizzas, Restaurant, Sandwicherie","10 Av. Des Portes Occitanes, Gannat",0
63001,Saveurs D'asie,ChIJISjTYQAr90cRfnc2vpUtfMI,Restaurant Asiatique,"12 Cr De La République, Gannat",NA
63001,O'sushis,ChIJ28hKlWEj90cRj2frstc6RvY,Restaurant De Sushis,"36 Rue De L'hôtel De Ville, Riom",NA
63001,Phils Food,ChIJ94qHT4sj90cRwllZ25vcpM8,Restaurant Indien,"13 Rue Des Essarts, Riom",NA
63001,Le Banme,ChIJmxqE-S4i90cR7FSSd_zQ4Vg,"Restaurant Asiatique, Bar, Restaurant Chinois, Restaurant Vietnamien","52 Rue Hippolyte Gomot, Riom",NA
63001,Fsdg,ChIJr5zTK0Yj90cR_VfC-Fg52Ws,Sushis À Emporter,"117 Rte De Marsat, Mozac",NA
63002,Bistrot Chalala,ChIJ1dsSI0H39kcRdjMbaXGpJtE,"Bar, Brasserie","1 Pl. Du Charnier, Sauxillanges",1
63002,Kebab St-Jean,ChIJme79P02H9kcRbAmFdIFTV0U,"Kebab, Restaurant De Restauration Rapide","6 Pl. Saint-Jean, Ambert",1
63002,O'délice,ChIJI2l3HfJ59kcRzg05ueUG588,Kebab,"3 Rue Charles Faucon, Arlanc",1
63002,Bun Meat Bun Issoire,ChIJr_SC1X5X9kcRSaGDOjHo8nY,Restaurant Halal,"Rue Jean Monet, Issoire",1
63002,Kebab Ste Florine,ChIJTSist61a9kcRslt3Jnca40s,Restaurant,"5 Rue Des États Unis, Sainte-Florine",1
63002,Le Pré Fleuri,ChIJCZRMuMVm9kcRwIDBYEW3IZw,"Restaurant, Restaurant Français","Malbarot, Saint-Germain-l'Herm",0
63002,L'auberge De Manon,ChIJB2XBZ_9d9kcRPlYJpUTqJ80,Restaurant Français,"1164 D266, Sainte-Catherine",0
63002,L'henriette Restaurant (Groupe 80 Cvts) Dans Le Livradois Forez En Auvergne À 20 Mn D'ambert. Spécialité Auvergnate,ChIJyVu7TsCL9kcRo6A-0-qt4Yo,Restaurant Français,"La Gravière Haute, Auzelles",0
63002,Auberge De Civadoux,ChIJ95AkHbpY9kcRwlrWtM5F1Cw,"Restaurant, Restaurant Français, Auberge","63490 Saint-Quentin-Sur-Sauxillanges, Saint-Quentin-sur-Sauxillanges",0
63002,Auberge Du Drac,ChIJ3-Qs_Yxb9kcRleylSpf9V9w,Restaurant Français,"Lieu Dit Coupé-Gorge, La Chapelle-sur-Usson",0
63002,Nems Saigon,ChIJFc66t7KA9kcRzG_8h6Kyzhg,"Restaurant Vietnamien, Restaurant Asiatique, Restaurant Chinois","16 Rue Du Château, Ambert",NA
63002,Onigiriya,ChIJAX5wcQCP9kcRGv9JjgIQfsQ,Restaurant Japonais,"3 Rue Mal De Lattre De Tassigny, Olliergues",NA
