respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
36001,Dun Kebab,ChIJSfYdep7d-0cRsVa9hktdSZQ,Restaurant De Restauration Rapide,"1 Rue De La Navette, Dun-le-Palestel",1
36001,Médina Food,ChIJxV-_C3lM-kcRuG2AOfoBjDE,"Restaurant, Restaurant De Restauration Rapide, Kebab, Restaurant De Pizzas, Pizza À Emporter","175 Rue Nationale, La Châtre",1
36001,Arass Kebab,ChIJ3ZLB8K5N-kcRml7w48AVR5s,Restaurant,"125 Rue Nationale, La Châtre",1
36001,Merveilles D Asie,ChIJvb5wUdJN-kcRHI5Srxl1nz0,"Restaurant, Restaurant Asiatique, Magasin De Bière, Restaurant Chinois, Restaurant Français, Restaurant Halal, Restaurant Japonais, Restaurant Coréen, Restaurant Du Moyen-Orient, Restaurant Végétarien","52 Av. D'auvergne, La Châtre",1
36001,L'oasis,ChIJJZoZg8B_-UcRFk797TKwB6Q,"Restaurant Marocain, Bar, Restaurant Méditerranéen, Restaurant","3 Rue De Bellevue, Guéret",1
36001,Le Saint Antoine Bistro Francais,ChIJ7bQlWMTJ-0cRVGolRDouRlc,Restaurant Français,"2 Pl. De La Promenade, Aigurande",0
36001,Restaurant L'authentique,ChIJKaAIR7_O-0cRn-sNra4AI7s,"Restaurant, Restaurant Français, Restaurant Méditerranéen","25 Rue Principale, Lourdoueix-Saint-Pierre",0
36001,La Bonne Franquette,ChIJWeTzUk_P-0cRoVupIYcWguY,"Restaurant, Restaurant Français","27 Rue Du Berry, Méasnes",0
36001,Le Forgeron,ChIJHSNoUBPK-0cRU5jh7xG3OqE,"Restaurant Français, Bar","Le Bourg, La Buxerette",0
36001,Auberge Le Boischaut,ChIJyV0wREI1-kcRvV03eXZnMDc,Restaurant Français,"2 Rue Du Parc, Crevant",0
36001,Restaurant La Baie D'halong,ChIJ--CEaF-R-0cR1V3006otPU8,Restaurant Vietnamien,"4 Rue Barbès, Argenton-sur-Creuse",2
36001,Royal Wok,ChIJbVYj4rV_-UcRizSfM-_tlgg,Restaurant Asiatique,"21 Av. Charles De Gaulle, Guéret",2
36001,M. Ramen,ChIJZeitxqt_-UcRpUFOihcswQQ,Restaurant Chinois,"France, Guéret, Guéret",2
36001,Baboushkalèche Foodtruck/Traiteur,ChIJN1o3vJij-0cR3Hqd2KsZZGo,"Restaurant De Fusion Asiatique, Brasserie","Grand Vernusse, Velles",2
36001,La Perle D'asie,ChIJVyEE6crj-0cR9KhyvlyNV4s,"Restaurant Vietnamien, Restaurant Chinois","2 Rue Du Peu De Sedelle, La Souterraine",2
36002,Kebab Zeugma,ChIJa2vrTr4Z-0cRQ5oxsULIraE,Restaurant De Restauration Rapide,"70 Grande Rue, Vatan",1
36002,Kebab Istanbul,ChIJQVOTZUhB-0cR30IBJzlHQWk,Kebab,"2 Rue Du Marché, Valençay",1
36002,Baba Kebab,ChIJxVTYgHE4-0cR8gWCq2vXTuY,Restaurant,"4 Rue Grande, Chabris",1
36002,Kebab Burger Chez Le Mac Salem Istanbul,ChIJKUOTA8VF-0cR27J0oW_NXFo,Restaurant,"32 Rue De Romorantin, Selles-sur-Cher",1
36002,Ben's Burger,ChIJgzx6UTtF-0cR6sPb4puyF5Q,Restaurant Halal,"31 Rue De Romorantin, Selles-sur-Cher",1
36002,Auberge Du Renon,ChIJUV66HC4--0cRNXXPdz_NbMA,Restaurant Français,"Autre Le Bourg 00000, Buxeuil",0
36002,Le Ferdinand,ChIJk5zq1oYW-0cRGGNHNpweFBM,"Restaurant Français, Bar","3 Pl. Ferdinand De Lesseps, Guilly",0
36002,Cafe Des Sports,ChIJ0x_q4-kU-0cR4vEgDr1c1qc,"Gastro-Pub, Traiteur, Lieu De L'événement, Restaurant Français","9 Rue Principale, Rouvres-les-Bois",0
36002,Boucherie De Poulaines,ChIJHTgwiEE_-0cRUEr-O8bmEZA,"Boucherie, Restaurant Français","5 Rue Nationale, Poulaines",0
36002,La Petite Auberge,ChIJHRL3Ln8T-0cRKHZbu3ZdIt8,"Restaurant Français, Bar","14 Rue Du Château, Bouges-le-Château",0
36002,Au 14 Février,ChIJ7-FcmbsE-0cRkb6cnpubIxw,"Restaurant Gastronomique, Restaurant Français, Restaurant Japonais","2 Rue Du Portail, Saint-Valentin",2
36002,Chez Voisin Lin,ChIJmVP2lvBF-0cRL4DLdsX7kBw,Restaurant Chinois,"6 Rue De Sion, Selles-sur-Cher",2
36002,La Cuisine De Amy & Eloïse,ChIJP5uBdm9F-0cRiX66KwLPN3U,"Traiteur, Restaurant Asiatique, Restaurant Chinois De Livraison","10 Av. Aristide Briand, Selles-sur-Cher",2
36002,Restaurant Nitharsshini,ChIJ88mlJQ8m-0cRDmR98cNveZw,Restaurant Indien,"8 Pl. De L'église, Châtres-sur-Cher",2
36002,Wok 41,ChIJ-f-Y_0Yx-0cRoyWdU0qaTp0,"Restaurant Asiatique, Restaurant Chinois, Restaurant","154 Av. De Villefranche, Romorantin-Lanthenay",2
36003,Les Saveurs D'istanbul,ChIJa6pCn1z9-kcR1dLvqFWcCsU,Restaurant Turc,"2 Pl. De La Croix De Pierre, Issoudun",1
36003,Les Jardins D'istanbul,ChIJ6SFyPwD9-kcRlwjJg4bybsM,Restaurant Turc,"52b Pl. De La Croix De Pierre, Issoudun",1
36003,Le Sultan,ChIJO0I1CST9-kcRRMijl8OLUqs,"Restaurant Turc, Restaurant De Restauration Rapide, Kebab","2bis Rue Saint-Lazare, Issoudun",1
36003,Le Bon Libanais,ChIJlfoZGiv9-kcRLqvVoVrigdE,"Restaurant Libanais, Traiteur","2 Bd De Stalingrad, Issoudun",1
36003,O'166,ChIJDRX0Ha6n-0cR8DSpcDsEmLA,"Restaurant Halal, Restaurant De Restauration Rapide, Restaurant","166 Av. De La Châtre, Châteauroux",1
36003,L' Ecu,ChIJpzX87W4A-0cRL6goOW0VDSg,"Restaurant, Restaurant Français","1 Rue Du Château, Vouillon",0
36003,Auberge Des Rabouilleux,ChIJ6xGKHtj_-kcRVXn13-ck_cc,"Restaurant Français, Hôtel","Le Bourg, Meunet-Planches",0
36003,Restaurant Le Chat Noir,ChIJ96kc5AGq-0cRbYDzDYOr0a8,"Restaurant Français, Bar","5 Pl. Du Château, Mâron",0
36003,Le Mirabelle,ChIJY8ckZxNW-kcRWvbIZwiTZ8k,"Restaurant, Restaurant Français, Restaurant De Hamburgers","4 Pl. De La Mairie, Pruniers",0
36003,Restaurant De La Gare,ChIJJVsbEy-p-0cRBKuZ48-DD3Q,Restaurant Français,"2 Av. De La Gare, Ardentes",0
36003,Wok Grill,ChIJ7e8TL2an-0cRSZJ_KRbUxm0,Restaurant Asiatique,"Route De La Chatre, Le Poinçonnet",2
36003,Meilleur Siecle « Wok & Buffet »,ChIJiWqFnnKn-0cRvPu6AU00kfQ,"Restaurant Buffet, Restaurant Chinois, Restaurant De Sushis","All. Du Forum, Le Poinçonnet",2
36003,Dok Boua,ChIJc-H-3D79-kcRLLak9rmvS0c,"Restaurant Thaïlandais, Restaurant Gastronomique, Restaurant De Fondue Chinoise","9 Bd Pierre Favreau, Issoudun",2
36003,Ha Noi Quan,ChIJKYAQ73b9-kcRChau-aom8ok,"Restaurant Vietnamien, Restaurant Chinois","59 Rue Du Bât Le Tan, Issoudun",2
36003,Sushi Daily Celleneuve Vitrine,ChIJscEfBKyg-0cRHcDpWfm8DLk,"Sushis À Emporter, Restaurant De Sushis À Tapis Roulant, Producteur Alimentaire, Restaurant De Sushis","154 Av. Charles De Gaulle, Centre Commercial Châteauroux, Châteauroux",2
36004,Chez Titi & Coco,ChIJNV-6a6cn-0cR8Jvv4GVK7k4,"Restaurant De Restauration Rapide, Restaurant Chophouse, Restaurant De Hamburgers, Kebab","49 Rte De Tours, Thénioux",1
36004,Kebab Zeugma,ChIJa2vrTr4Z-0cRQ5oxsULIraE,Restaurant De Restauration Rapide,"70 Grande Rue, Vatan",1
36004,Baba Kebab,ChIJxVTYgHE4-0cR8gWCq2vXTuY,Restaurant,"4 Rue Grande, Chabris",1
36004,Pizza Must,ChIJdzWT_1Mx-0cRdedsAJ8txfI,"Restaurant, Pâtisserie, Restaurant Halal, Restaurant De Hamburgers, Restaurant Du Déjeuner, Pâtisserie, Restaurant De Pizzas","125 Rue Du Président Wilson, Romorantin-Lanthenay",1
36004,Istanbul Kebab & Pizza,ChIJM_3hXFYx-0cRxg0Yj-g7TEY,"Restaurant Turc, Kebab, Restaurant De Pizzas","8 Rue Du Président Wilson, Romorantin-Lanthenay",1
36004,Grand Cafe Du Commerce,ChIJoxVc6vQi-0cR9LyWA_r7gU8,"Café, Restaurant Français","15 Pl. Du Marché, Graçay",0
36004,La Chapelotte,ChIJfVB46vQi-0cRryo2xPIyVmU,"Restaurant, Bar, Bar À Tabac, Restaurant Français","1 Rue Félix Pyat, Graçay",0
36004,Le Saint Lupein,ChIJgx1z98ol-0cRo8iU14WJ6jg,Bar Et Grill,"15 Grande Rue, Saint-Loup",0
36004,Le Paris,ChIJEdJiGYUl-0cRjC6moltVOj8,"Bar, Restaurant Français","3 Rue Pierre Loyau, Mennetou-sur-Cher",0
36004,Le Coin Du Pont,ChIJr5xyldsl-0cRFl-qh6T2Ra4,"Crêperie, Boulangerie, Épicerie, Restaurant","1 Rue Pierre Loyau, Mennetou-sur-Cher",0
36004,Restaurant Nitharsshini,ChIJ88mlJQ8m-0cRDmR98cNveZw,Restaurant Indien,"8 Pl. De L'église, Châtres-sur-Cher",2
36004,Wok 41,ChIJ-f-Y_0Yx-0cRoyWdU0qaTp0,"Restaurant Asiatique, Restaurant Chinois, Restaurant","154 Av. De Villefranche, Romorantin-Lanthenay",2
36004,Le Nouveau Palais Du Bonheur,ChIJuZIuieIz-0cRQG0Tj7l2sJY,"Restaurant Chinois, Restaurant Asiatique","30 Fbg Saint-Roch, Romorantin-Lanthenay",2
36004,Le Cheverny,ChIJKZ5Fsv0z-0cRmlqa71tGW8E,"Bar Pmu, Restaurant Chinois, Bar À Cocktails, Boutique De Loterie, Brasserie","8 Rue Saint-Martin, Romorantin-Lanthenay",2
36004,Asaki Bonheur,ChIJobwjB_wz-0cRGKxT1HsW4KM,Restaurant Japonais,"20 Fbg D'orléans, Romorantin-Lanthenay",2
36005,O'166,ChIJDRX0Ha6n-0cR8DSpcDsEmLA,"Restaurant Halal, Restaurant De Restauration Rapide, Restaurant","166 Av. De La Châtre, Châteauroux",1
36005,Castel Pizza Kebab,ChIJdRpEQc2n-0cRAcPFbxKdM1Y,Restaurant,"9 Rue Du 11 Novembre 1918, Châteauroux",1
36005,Punaise-Lit Expert,ChIJ1ZlMdojaqYcRHIyZViozk2M,"Traiteur, Buffet De Fête Pour Enfants, Buffet De Douceurs Et De Desserts, Société De Gestion D'événements, Restaurant Halal, Restaurant De Livraison, Restaurant, Buffet De Mariage","1 Rue Denis Papin, Châteauroux",1
36005,Allo Pizz',ChIJ-14ljKyg-0cRVOjLa5owQtg,"Restaurant, Restaurant De Hamburgers, Kebab, Restaurant De Pizzas","62 Bd De Cluis, Châteauroux",1
36005,Restauration Rapide Le Carthage,ChIJc-0TJKug-0cRtMRxW6DXlfU,"Restaurant De Restauration Rapide, Kebab, Restaurant","16 Av. De La Châtre, Châteauroux",1
36005,Restaurant De La Gare,ChIJJVsbEy-p-0cRBKuZ48-DD3Q,Restaurant Français,"2 Av. De La Gare, Ardentes",0
36005,Restaurant Le Chat Noir,ChIJ96kc5AGq-0cRbYDzDYOr0a8,"Restaurant Français, Bar","5 Pl. Du Château, Mâron",0
36005,L'adresse,ChIJz7EMKMOm-0cRqVJcAdK2A1k,"Restaurant De Hamburgers, Crêperie, Brasserie","2 Rue Des Pinsonnets, Le Poinçonnet",0
36005,Traiteur Le Poinconnet,ChIJTTSr3NKn-0cRFj0W5dlvl6o,"Traiteur, Restaurant Brunch, Bar À Cocktails, Restaurant Français, Restaurant Du Déjeuner, Pâtisserie, Bar À Vin","24 Allée Josephine Pencalet, Le Poinçonnet",0
36005,Le Relais Des Sens,ChIJHYTSv9ym-0cRpb8W_Z7qtFQ,"Restaurant De Cuisine Campagnarde, Salle De Banquet, Restaurant Français, Restaurant À Emporter","73 Av. De La Forêt, Le Poinçonnet",0
36005,Wok Grill,ChIJ7e8TL2an-0cRSZJ_KRbUxm0,Restaurant Asiatique,"Route De La Chatre, Le Poinçonnet",2
36005,Meilleur Siecle « Wok & Buffet »,ChIJiWqFnnKn-0cRvPu6AU00kfQ,"Restaurant Buffet, Restaurant Chinois, Restaurant De Sushis","All. Du Forum, Le Poinçonnet",2
36005,Sushi Daily Celleneuve Vitrine,ChIJscEfBKyg-0cRHcDpWfm8DLk,"Sushis À Emporter, Restaurant De Sushis À Tapis Roulant, Producteur Alimentaire, Restaurant De Sushis","154 Av. Charles De Gaulle, Centre Commercial Châteauroux, Châteauroux",2
36005,Bánh Mì Saigon,ChIJuYCOfAih-0cRJaaMJnCrk4k,"Restaurant, Magasin De Thé Aux Perles, Café, Brasserie, Sandwicherie, Fabricant De Thé, Restaurant Vietnamien","20 Rue De La Gare, Châteauroux",2
36005,Ichiban Sushi,ChIJow_h86ig-0cRGBR5J3dfQ2U,"Restaurant Japonais, Restaurant De Sushis","35 Rue De La Poste, Châteauroux",2
36006,Kebab Chez Riri,ChIJq_QPadqN-0cRSCUEql2ctnI,Restaurant De Restauration Rapide,"36800 La Raterie, Luzeret",1
36006,Le Bosquet,ChIJOZa96s_1-0cR1JpK2c0jSnY,"Dîner, Restaurant De Restauration Rapide, Restaurant Français, Restaurant De Hamburgers, Kebab, Restaurant Du Déjeuner, Restaurant Méditerranéen","1 Pl. De L'église, Chaillac",1
36006,Kebab 36,ChIJLa50ia6g-0cRuWSo6x2sqis,Restaurant De Restauration Rapide,"144 Av. Charles De Gaulle, Châteauroux",1
36006,Castel Pizza Kebab,ChIJdRpEQc2n-0cRAcPFbxKdM1Y,Restaurant,"9 Rue Du 11 Novembre 1918, Châteauroux",1
36006,Allo Pizz',ChIJ-14ljKyg-0cRVOjLa5owQtg,"Restaurant, Restaurant De Hamburgers, Kebab, Restaurant De Pizzas","62 Bd De Cluis, Châteauroux",1
36006,L'agora,ChIJcSNG02uR-0cRlNCEHQ9vTAA,"Restaurant, Brasserie, Brasserie, Bar À Tapas","1 Av. Rollinat, Argenton-sur-Creuse",0
36006,Le Traqueur Berrichon,ChIJdzz2e9eR-0cR0h8iu1MELaE,"Restaurant De Restauration Rapide, Restaurant Américain, Restaurant De Hamburgers","4 Rue Grande, Argenton-sur-Creuse",0
36006,Le Café De Poche,ChIJqyvSPiGR-0cRku8W1ay8vb8,"Restaurant, Café, Brasserie","2 Pl. Agnès Varda, Argenton-sur-Creuse",0
